contact_id,account_id,geo_id,email,phone,job_title,role,lifecycle_stage,created_at,updated_at
ce5c2df3-be18-43f4-8602-30377abcf17f,95a68b36-e900-4915-9806-0cf233fc42f9,e64f2851-29a8-4c7e-83c0-58a984a05efd,user0@example.com,+1-555-1000,Engineer,User,Lead,2023-02-09 03:43:15,2022-01-12 07:48:01
ae0e9c6f-05bb-4e0d-8164-37fef1931278,e61dce74-1c81-4a2d-add3-725f01a984b6,9768f287-3f7c-4f3f-9e85-28beb8a815f6,user1@example.com,+1-555-1001,Manager,User,Lead,2022-09-28 02:15:32,2023-10-23 04:21:43
483c6ab4-1a16-40c9-b2b6-e6ec0c1ffc15,70c2afa8-325c-4966-8b99-b3d540ec7af1,b1157b1e-d7ac-4a4f-8854-41f6d481c09b,user2@example.com,+1-555-1002,Manager,User,Lead,2022-02-18 06:49:27,2024-12-27 10:31:03
2165d1d0-7930-4ef9-b7fc-ca35860604cd,36a6ae3e-9882-4355-9d29-8db2f33b578f,7b9cb9ef-0cd8-4b2b-83e0-3913fd70820d,user3@example.com,+1-555-1003,Analyst,Viewer,Active,2023-09-21 04:50:05,2024-04-10 01:04:23
2e676bfe-00fe-4cb2-bb62-f0c0c2f09991,2e1afbb9-8935-405e-960e-27b1676eba4f,07a8c1b6-edd7-42ea-8ee5-59501a0ec2fe,user4@example.com,+1-555-1004,Engineer,Admin,Lead,2023-12-04 11:16:53,2023-06-21 00:47:33
591f5edc-abfd-40d5-bd80-d1f0ac4ac8e4,9dfa95ff-f35e-4f8d-a379-d3437635f60a,308a661f-1cae-4c0d-a556-c6757629b1dd,user5@example.com,+1-555-1005,Engineer,User,Active,2024-05-13 15:27:30,2023-01-15 09:24:51
09326ea1-3018-4ad7-81b4-589531e3ecfc,90c55873-42b8-493b-b754-48e939960dff,382a30ba-7fca-4b36-b4f8-14feb2a55572,user6@example.com,+1-555-1006,Manager,Viewer,Active,2024-05-04 13:59:36,2024-10-24 02:21:26
ed6c2f06-9474-4461-a208-99f94c68219b,e7d625a0-abe1-4ae3-8cdc-08fa7cf38238,0b6d7c05-babf-4a3f-8a30-ace0df963ca7,user7@example.com,+1-555-1007,Director,User,Active,2023-01-24 03:10:52,2024-03-31 09:25:14
4082e83a-aa88-4773-9acc-5edf21b7d88b,1848c151-4801-407d-baa4-eed5396418c0,c68acfda-6db5-405f-ab3d-9e54547cc5df,user8@example.com,+1-555-1008,Director,Admin,ChurnRisk,2022-05-28 03:36:51,2024-11-28 16:16:48
df6d0434-8f32-4562-8239-2124ecd43009,b86b5488-3c81-456c-8cf8-f2310a2acd2f,96cee407-b3be-4f54-a08b-c4cf5f5f46ba,user9@example.com,+1-555-1009,Analyst,User,Lead,2023-12-19 18:13:15,2024-08-04 08:23:02
5482da59-9a1b-4501-90a7-7ec805c154e4,afa2b2be-6b99-4113-9e04-0df99bcc0ebe,713b4916-11b7-44e2-adb2-6f39959206ae,user10@example.com,+1-555-1010,Analyst,Viewer,Active,2022-06-08 07:22:52,2022-03-07 19:08:43
88d4dd1c-9626-4191-a271-fdb523dc68b7,344ca139-bd44-4130-85c3-de33171e575f,d3b58f8b-c9b8-449d-afa7-046a5607b449,user11@example.com,+1-555-1011,Director,User,Lead,2022-08-06 03:51:44,2024-08-01 12:31:37
80b6b5a8-fdb8-4a32-8c10-f4e7a9aadb12,bbf3dda1-7c5c-4bc0-959a-d8a3d858f846,eab23103-61b8-42e6-b8e4-27bdae31cde6,user12@example.com,+1-555-1012,Engineer,User,ChurnRisk,2022-07-08 16:06:20,2023-11-28 22:57:37
728d3874-4de3-4baa-888e-cc08393f236a,6de605d6-4f65-400c-b0a0-ad676b5a88e5,f8e719a4-7253-49a7-b6b4-80ac6afd68e7,user13@example.com,+1-555-1013,Analyst,User,Lead,2022-01-19 13:47:11,2022-09-19 19:20:27
e757ea52-57c8-494e-8bf1-2325fe59f7e5,5de16994-047d-4883-8908-3e29632faf97,0b6d7c05-babf-4a3f-8a30-ace0df963ca7,user14@example.com,+1-555-1014,Manager,Admin,ChurnRisk,2022-04-06 19:11:37,2024-11-13 20:00:32
ea49ef00-67d0-4d30-883d-67c6a7be8790,c3404f0d-b105-4169-bbdf-212072033a02,2069ac2f-8681-4d9d-8ff6-3fc8888d98ef,user15@example.com,+1-555-1015,Engineer,User,Active,2022-12-12 07:30:08,2024-03-24 06:06:23
96f3bd57-7955-4640-822b-3d230ee24f46,6c150808-3e1b-406b-a00c-92f8f9da8239,c68acfda-6db5-405f-ab3d-9e54547cc5df,user16@example.com,+1-555-1016,Manager,Viewer,Active,2022-07-23 01:25:02,2022-12-16 15:09:53
ce1fcb87-beb8-4454-92e1-0f0a93d840e0,eb1d7679-0b41-4dfb-a567-f1f2bc15dd22,f8e719a4-7253-49a7-b6b4-80ac6afd68e7,user17@example.com,+1-555-1017,Analyst,User,ChurnRisk,2022-11-04 18:56:05,2022-09-29 13:32:44
4efa599d-0d2c-4899-926d-dcbb73fbd60c,adb0c7fa-bea3-4b3c-b88a-9d75958eb4cc,b9d9e952-3729-466a-99e4-8cb64954f439,user18@example.com,+1-555-1018,Director,User,Active,2023-09-15 06:46:20,2022-04-27 16:45:54
86b5a480-9bb8-476c-947c-b372761bffcf,a5b899ba-09a1-4c0f-aca1-35c3d0b49672,4898deb9-da65-4a99-9f17-e013bc3c25cc,user19@example.com,+1-555-1019,Analyst,User,Lead,2023-08-02 06:06:12,2023-07-25 04:39:02
8fc0d9ef-8197-41c7-a6aa-0a7e17b22e0c,6b051177-aa36-49c8-952d-b3f757bb1d73,07a8c1b6-edd7-42ea-8ee5-59501a0ec2fe,user20@example.com,+1-555-1020,Director,Admin,Lead,2024-12-02 02:34:08,2022-07-27 02:29:06
12ce88b4-f09a-4d77-9e6e-c3dc8a3cb705,34812e3a-ac84-4282-85ca-06156603934a,32169ff7-ea26-43ca-9b8f-62b10788f98a,user21@example.com,+1-555-1021,Engineer,Viewer,ChurnRisk,2024-09-06 03:11:44,2024-03-08 23:32:44
c177a9a9-cece-4128-ae15-1ac2eb343486,34c7f8ca-9803-4fb0-92cc-caae90370bd4,986cb746-08a3-4f11-a5bd-6ffb7c73a883,user22@example.com,+1-555-1022,Analyst,User,Lead,2024-09-28 11:35:58,2023-07-03 19:39:46
e7f8fd29-aaf0-41a7-8fa2-1359868acdad,a12d277c-1723-4023-989a-41cea2336a75,b1157b1e-d7ac-4a4f-8854-41f6d481c09b,user23@example.com,+1-555-1023,Analyst,Viewer,Active,2022-05-11 13:13:00,2022-03-21 01:56:03
0fc3744e-25cd-492b-8991-e01ce32622ef,5783fd97-5525-4e21-b3a1-f0167f9cf9b3,fd4f23c6-0e0b-4a1c-9527-77e78c0278ef,user24@example.com,+1-555-1024,Analyst,Viewer,Active,2024-06-23 14:36:17,2023-10-19 16:13:42
284f9b5c-1ddc-42f1-8025-25250e11bceb,4a7419b6-6a22-4988-a8c1-948ea9ae4279,b0b30ba9-1373-4d34-b2e3-4950984f2c16,user25@example.com,+1-555-1025,Engineer,Admin,Active,2024-06-29 12:05:27,2024-02-09 17:52:19
e1664d08-2e70-4d37-bd91-08c6d89e1416,aacf5f48-6065-4ba1-821d-ed0fa60c1f46,7b9cb9ef-0cd8-4b2b-83e0-3913fd70820d,user26@example.com,+1-555-1026,Manager,Viewer,Lead,2023-02-07 01:31:59,2023-08-12 21:40:38
