lead_id,geo_id,email,source,utm_campaign,utm_medium,created_at,updated_at,is_converted,converted_account_id
eb3979ae-7215-441d-9b74-fbac9a3844d8,b8806616-764a-4f02-ac60-c718be6f04f9,lead0@example.com,LinkedIn,spring,cpc,2024-04-10 11:01:48,2023-05-10 15:34:28,0,6e17b459-6046-4009-9cac-1eb1dd278800
72905774-2e0e-40aa-9085-572f09b33a3f,c47f4c8a-816e-4d6a-9b91-e79cf635d0e5,lead1@example.com,Referral,summer,cpc,2023-12-24 19:32:16,2023-01-26 13:52:48,0,0c31cbe4-5619-452a-b90b-8b8f0da2dcf4
89ba9db1-fd9a-4923-b70a-660845319366,e64f2851-29a8-4c7e-83c0-58a984a05efd,lead2@example.com,LinkedIn,spring,email,2024-03-04 11:14:37,2024-06-02 09:48:51,1,895f63cd-3931-42ad-8ae6-cbbf38b5ccb4
d1e94b54-8557-40fa-9378-e2f7f5fc83ad,65571c78-d8ce-46d8-8fd7-1d487c346d71,lead3@example.com,Google Ads,summer,cpc,2022-07-09 16:07:30,2022-04-23 23:15:10,0,34c7f8ca-9803-4fb0-92cc-caae90370bd4
3b2bde69-7c08-4c34-a037-4b04af158a1c,92281d5b-28df-4ff1-9663-dc6f0896606d,lead4@example.com,Google Ads,fall,email,2024-01-18 13:59:50,2022-09-28 17:37:31,0,61bb2efb-ab1f-4e3c-9a6c-6af94709179d
287ed0ea-a2e3-418c-8353-33ffd2e332c7,32169ff7-ea26-43ca-9b8f-62b10788f98a,lead5@example.com,LinkedIn,spring,email,2024-11-03 16:47:04,2024-08-30 18:46:18,1,393a4ea0-2b19-42e7-8307-82bd32aebf59
88e2e002-c4b4-48e2-9448-be3c7869eda5,9b32730c-197d-4128-9e8f-a9c485970207,lead6@example.com,Google Ads,fall,cpc,2024-08-12 09:13:29,2024-10-21 18:57:36,1,ddce4f6c-2358-4507-b9bd-7d6898fb2401
327f96c6-cc0a-4e00-bf54-8f220c66e143,f556ace5-b699-4fcf-a271-5d9f7351ad1f,lead7@example.com,Google Ads,fall,cpc,2023-03-09 07:47:49,2022-04-15 12:51:25,0,6006dc57-1954-43cd-89c3-f6e9bddda5fa
f349e7a2-00d0-40a9-a907-0d7f55863da4,96cee407-b3be-4f54-a08b-c4cf5f5f46ba,lead8@example.com,LinkedIn,fall,organic,2022-05-10 08:27:35,2023-07-27 02:45:03,0,c59d9c80-97fc-4b26-ba95-3023f331d582
ce1ff0c2-4dbc-4df0-9fe6-19493b2dc42c,e64f2851-29a8-4c7e-83c0-58a984a05efd,lead9@example.com,LinkedIn,fall,organic,2023-07-08 10:18:01,2022-05-15 08:07:54,0,0ce8d110-287d-422c-adfb-649a40a23b56
